,id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5000,43333204,Well furnitued apartment downtown,119460476.0,1.4682177510080087e+18,Abdullah,Ciutat Vella,el Raval,41.37621,2.17053,Private room,,1.0,0,,,1.0,0,0,
5200,45094687,Apartment next to Sagrada Familila with A/C and Wifi,437835392.0,1.48797441018846e+18,Illacat,Eixample,la Sagrada Família,41.40416,2.1752,Entire home/apt,237.0,1.0,15,2026-04-13,0.31,21.0,42,9,Barcelona - Regional registration number<br />HUTB-011471
5400,46520716,"Great studio right in Born, all included",265193861.0,1.46940284173429e+18,BeBarceloner,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38604,2.18017,Entire home/apt,184.0,2.0,89,2026-05-17,1.33,125.0,359,11,Barcelona - Regional registration number<br />HUTB003505<br /><br />Spain - National registration number<br />ESHFTU00000805400004049000200000000000000HUTB-0035050
5600,49460390,Atlantida Ground Floor Unit next to Beach (I),66296022.0,1.4668193877576338e+18,Suzy,Ciutat Vella,la Barceloneta,41.37874,2.19111,Entire home/apt,83.0,32.0,3,2026-06-13,0.87,44.0,66,3,Spain - National registration number<br />ESHFNT00000811900017385900400000000000000000000000006<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental
5800,51100763,Grace | Balcony | WiFi | Washer | Central location,299462.0,1.4625110383608072e+18,Stay Unique,Gràcia,la Vila de Gràcia,41.40008544921875,2.1634700298309326,Entire home/apt,301.0,1.0,164,2026-06-04,2.74,140.0,328,26,Spain - National registration number<br />ESFCTU00000805700050324800000000000000000HUTB-0056155<br /><br />Barcelona - Regional registration number<br />HUTB-005615
6000,52181229,XXS suite studio room. Born quarter. Wifi free,11503634.0,1.4628662794992256e+18,⁨Termi  Nina O.⁩,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.383657777457536,2.1855391764030756,Private room,60.0,31.0,1,2023-12-18,0.03,2.0,209,0,Spain - National registration number<br />ESHFNT00000811900022642500100000000000000000000000007
6200,53158717,Small Twin Room With CityView,428355504.0,1.469941158860088e+18,Fontanella,Eixample,la Dreta de l'Eixample,41.3878,2.17216,Private room,,1.0,110,2025-07-14,2.13,10.0,0,2,
6400,54272406,Expectacular piso en Barcelona (Francesc Macia),398014636.0,1.4636094364551268e+18,Erica,Eixample,l'Antiga Esquerra de l'Eixample,41.39098,2.14662,Entire home/apt,153.0,32.0,10,2024-07-26,0.19,2.0,330,0,Spain - National registration number<br />ESFCNT00000806000023705100000000000000000000000000001
6600,577391536278030741,Precioso loft con 2 balcones en el barrio gótico,342498888.0,1.4696738416908209e+18,B&F Accommodations,Ciutat Vella,el Barri Gòtic,41.38071,2.17621,Entire home/apt,55.0,32.0,12,2025-08-10,0.25,19.0,190,1,Spain - National registration number<br />ESHFNT00000811900016527400900000000000000000000000003<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental
6800,620100163373749416,Cozy familiar house,457584036.0,1.4700600491097354e+18,Maile,Sant Martí,el Parc i la Llacuna del Poblenou,41.39123,2.1857,Private room,47.0,4.0,64,2026-03-15,1.31,1.0,78,4,
